punt_global,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_educacionmadre,fami_educacionpadre,cole_mcpio_ubicacion,cole_cod_mcpio_ubicacion,cole_naturaleza,cole_area_ubicacion,desempeno_global
290,F,Estrato 6,Si,Postgrado,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
326,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
367,F,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
318,M,Estrato 5,Si,No sabe,No sabe,ENVIGADO,5266,NO OFICIAL,RURAL,Medio
184,F,Estrato 1,No,Ninguno,Ninguno,SAN CARLOS,5649,OFICIAL,RURAL,Bajo
351,M,Estrato 6,Si,Postgrado,Postgrado,SABANETA,5631,NO OFICIAL,URBANA,Alto
178,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Primaria incompleta,ITAGÜÍ,5360,NO OFICIAL,RURAL,Bajo
370,M,Estrato 6,Si,No sabe,No sabe,LA ESTRELLA,5380,NO OFICIAL,RURAL,Alto
328,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
310,M,Estrato 6,Si,Educación profesional completa,Primaria incompleta,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
186,M,Sin Estrato,No,Técnica o tecnológica incompleta,Secundaria (Bachillerato) incompleta,MEDELLÍN,5001,OFICIAL,URBANA,Bajo
190,M,Estrato 3,Si,Primaria incompleta,Primaria incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
264,F,Estrato 1,Si,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,EL BAGRE,5250,NO OFICIAL,URBANA,Medio
336,F,Estrato 5,Si,Educación profesional completa,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
234,F,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
248,F,Estrato 2,Si,Primaria incompleta,Primaria incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
205,F,Sin Estrato,No,Secundaria (Bachillerato) completa,Ninguno,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
258,M,Estrato 6,Si,Técnica o tecnológica completa,Técnica o tecnológica incompleta,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
250,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Primaria incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
278,F,Estrato 4,Si,Educación profesional completa,Secundaria (Bachillerato) completa,LA ESTRELLA,5380,NO OFICIAL,RURAL,Medio
273,M,Estrato 6,Si,Educación profesional completa,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
251,M,Estrato 2,Si,Primaria incompleta,No Aplica,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
250,F,Estrato 3,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,LA CEJA,5376,NO OFICIAL,URBANA,Medio
328,F,Estrato 6,Si,Educación profesional completa,No sabe,MEDELLÍN,5001,NO OFICIAL,URBANA,Alto
354,M,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
155,M,Estrato 4,No,Primaria completa,Primaria incompleta,MEDELLÍN,5001,OFICIAL,URBANA,Bajo
348,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
184,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Bajo
224,M,Estrato 2,Si,Primaria incompleta,No sabe,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
361,M,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
342,M,Estrato 6,Si,Educación profesional completa,No sabe,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
298,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
312,F,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
215,F,Estrato 1,Si,Primaria incompleta,No Aplica,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
244,F,Estrato 2,No,Primaria incompleta,Primaria incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
303,F,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
350,M,Estrato 6,Si,Postgrado,Postgrado,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
232,F,Estrato 1,Si,Ninguno,Ninguno,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
261,M,Estrato 1,Si,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,LA CEJA,5376,NO OFICIAL,URBANA,Medio
347,F,Estrato 6,Si,Postgrado,Postgrado,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
186,M,Estrato 3,Si,Primaria incompleta,No sabe,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
298,F,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
339,M,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
346,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
296,M,Estrato 3,Si,Educación profesional completa,Educación profesional completa,RETIRO,5607,NO OFICIAL,RURAL,Medio
196,M,Estrato 2,Si,Técnica o tecnológica completa,Primaria incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
393,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
348,M,Estrato 6,Si,Educación profesional completa,No sabe,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
292,F,Estrato 4,Si,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
190,M,Estrato 4,No,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
196,F,Estrato 3,Si,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,SEGOVIA,5736,NO OFICIAL,URBANA,Bajo
327,F,Estrato 4,Si,Postgrado,Educación profesional incompleta,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
349,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,SABANETA,5631,NO OFICIAL,URBANA,Alto
281,F,Estrato 3,Si,Postgrado,Postgrado,MEDELLÍN,5001,OFICIAL,URBANA,Medio
381,F,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
248,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
209,M,Estrato 4,Si,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
331,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
198,M,Estrato 3,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
252,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
328,F,Estrato 4,Si,Primaria completa,Primaria completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Alto
358,M,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
369,M,Estrato 6,Si,Postgrado,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
327,F,Estrato 5,Si,Técnica o tecnológica completa,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
344,F,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
387,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
360,M,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
319,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
283,M,Estrato 5,Si,Técnica o tecnológica completa,Educación profesional completa,RETIRO,5607,NO OFICIAL,RURAL,Medio
275,M,Estrato 4,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
370,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
330,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
366,F,Estrato 6,Si,Educación profesional completa,Educación profesional incompleta,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
353,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
310,M,Estrato 6,Si,Educación profesional incompleta,Educación profesional incompleta,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
293,F,Estrato 6,Si,Educación profesional completa,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
223,F,Estrato 4,Si,Educación profesional completa,Primaria incompleta,EL SANTUARIO,5697,NO OFICIAL,URBANA,Medio
307,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
208,F,Estrato 3,Si,Primaria completa,Ninguno,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
250,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Medio
395,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
340,F,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
192,F,Estrato 2,Si,Ninguno,No Aplica,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
366,F,Estrato 6,Si,Educación profesional completa,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
185,F,Sin Estrato,Si,Ninguno,Ninguno,ENVIGADO,5266,NO OFICIAL,URBANA,Bajo
293,F,Estrato 6,Si,Educación profesional completa,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
374,F,Estrato 5,Si,Postgrado,Postgrado,RETIRO,5607,NO OFICIAL,RURAL,Alto
240,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
270,M,Estrato 6,Si,Postgrado,No sabe,ENVIGADO,5266,NO OFICIAL,RURAL,Medio
342,M,Estrato 6,Si,Educación profesional completa,Postgrado,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
372,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
285,M,Estrato 3,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
207,F,Estrato 2,Si,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,LA CEJA,5376,NO OFICIAL,URBANA,Bajo
367,M,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
200,M,Estrato 2,Si,Educación profesional completa,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
213,F,Estrato 3,Si,Secundaria (Bachillerato) incompleta,Primaria completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
337,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
169,M,Estrato 3,Si,Educación profesional completa,Técnica o tecnológica completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
309,F,Estrato 6,Si,Educación profesional completa,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
262,F,Estrato 2,No,Primaria completa,Primaria completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
281,M,Estrato 1,Si,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,EL SANTUARIO,5697,NO OFICIAL,URBANA,Medio
388,M,Estrato 6,Si,Postgrado,Postgrado,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
200,M,Estrato 2,No,Primaria incompleta,Ninguno,ITAGÜÍ,5360,NO OFICIAL,RURAL,Bajo
329,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
181,M,Estrato 3,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
292,M,Estrato 2,Si,No sabe,Secundaria (Bachillerato) completa,SEGOVIA,5736,NO OFICIAL,URBANA,Medio
240,F,Estrato 3,Si,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
246,F,Estrato 3,No,Primaria incompleta,Secundaria (Bachillerato) incompleta,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
